PROCESSED_BY;SERVICE;USER;SESSION;SESSION_SIZE;MIGRATED;PACKET_NBR;RADIO;NETWORK_UPLINK;DISPATCH;MIGRATE;PROCESS;NETWORK_DOWNLINK;QUEUE;
DC0_VM0;0;77;6;6;0;5;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;55;0;40;0;8;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;38;7;3;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;67;0;12;0;6;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;53;7;6;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;39;1;31;0;5;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;99;1;15;0;13;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;38;7;3;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;84;1;13;0;7;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;39;1;31;0;6;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;84;1;13;0;8;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;114;5;8;0;2;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;53;7;6;0;2;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;84;1;13;0;9;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;30;8;2;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;114;5;8;0;3;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;84;1;13;0;10;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;77;7;1;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;30;8;2;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;100;0;19;0;16;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;79;0;11;0;4;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;97;2;26;0;3;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;97;2;26;0;4;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;55;0;40;0;9;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;29;2;1;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;84;1;13;0;11;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;67;0;12;0;7;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;77;8;4;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
